City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Tabou,CI,4.423,-7.3528,80.64,81,5,7.76,clear sky
187,Qandala,SO,11.472,49.8728,73.72,71,4,2.82,clear sky
188,Bengkulu,ID,-3.8004,102.2655,75.94,88,100,6.6,moderate rain
189,La Asuncion,VE,11.0333,-63.8628,79.32,65,0,13.47,clear sky
190,Aklavik,CA,68.2191,-135.0107,-32.8,68,20,8.05,few clouds
191,Chinhoyi,ZW,-17.3667,30.2,66.81,91,90,3.36,overcast clouds
192,Kralendijk,BQ,12.15,-68.2667,82.38,61,75,13.8,broken clouds
193,Arraial Do Cabo,BR,-22.9661,-42.0278,85.86,62,40,14.97,scattered clouds
194,Talnakh,RU,69.4865,88.3972,13.21,96,100,8.03,light snow
195,Port Elizabeth,ZA,-33.918,25.5701,72.1,87,75,10.36,broken clouds
196,Mogadishu,SO,2.0371,45.3438,76.37,82,32,19.15,scattered clouds
197,Mashhad,IR,36.297,59.6062,48.34,57,20,11.5,few clouds
198,Clyde River,CA,70.4692,-68.5914,-23.73,80,24,4.5,few clouds
199,Maracacume,BR,-2.0428,-45.9592,73.94,94,100,4.21,light rain
200,Riyadh,SA,24.6877,46.7219,59.14,53,0,9.15,clear sky
201,Upernavik,GL,72.7868,-56.1549,-7.47,85,96,4.27,overcast clouds
202,Iqaluit,CA,63.7506,-68.5145,-31.27,61,20,2.3,few clouds
203,Grand Gaube,MU,-20.0064,57.6608,79.38,81,0,1.01,light rain
204,Alugan,PH,12.2188,125.4808,78.75,85,15,14.5,few clouds
205,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,85,32,13.4,scattered clouds
206,Tessalit,ML,20.1986,1.0114,68.92,11,50,12.53,scattered clouds
207,Greytown,ZA,-29.0642,30.5928,60.46,98,100,2.77,light rain
208,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,66.34,26,21,10.74,few clouds
209,Aswan,EG,24.0934,32.907,58.24,32,0,10.07,clear sky
210,Qui Nhon,VN,13.7667,109.2333,74.75,90,34,8.08,scattered clouds
211,Puerto Madero,MX,14.7208,-92.4215,91.6,49,20,5.75,few clouds
212,Uspenka,UA,48.3903,39.1619,33.03,78,100,5.37,overcast clouds
213,Chara,RU,56.9064,118.2631,-13.79,77,83,2.57,broken clouds
214,Rocha,UY,-34.4833,-54.3333,67.73,93,100,8.59,moderate rain
215,Yar-Sale,RU,66.8333,70.8333,4.82,95,23,8.43,few clouds
216,Hambantota,LK,6.1241,81.1185,75.54,100,75,6.91,thunderstorm
217,Margate,GB,51.3813,1.3862,49.69,81,98,5.01,overcast clouds
218,La Playona,HN,15.1167,-88.9833,90.97,54,31,5.19,scattered clouds
219,Sayyan,YE,15.1718,44.3244,58.86,53,3,0.87,clear sky
220,Palembang,ID,-2.9167,104.7458,78.89,100,100,3.44,mist
221,Robertson,US,36.5167,-86.8667,35.58,67,100,5.1,overcast clouds
222,Bahia Honda,CU,22.9036,-83.1592,83.32,55,4,9.04,clear sky
223,Takaka,NZ,-40.85,172.8,69.57,90,100,0.6,light rain
224,San Felipe,VE,10.3399,-68.7425,84.2,47,26,10.51,scattered clouds
225,Coahuayana,MX,18.7333,-103.6833,92.5,23,24,6.85,few clouds
226,Kamiiso,JP,41.8167,140.65,17.96,94,96,4.9,light snow
227,Abrau-Dyurso,RU,44.69,37.59,29.66,75,39,1.68,scattered clouds
228,Ribeira Grande,PT,38.5167,-28.7,61.2,77,40,17.27,scattered clouds
229,Sulangan,PH,11.1373,123.7228,79.11,83,5,17.2,clear sky
230,Laguna,US,38.421,-121.4238,57.31,65,0,3.44,clear sky
231,Tiznit,MA,29.5833,-9.5,52.93,44,0,3.56,clear sky
232,Tarko-Sale,RU,64.9225,77.785,4.57,96,11,9.75,few clouds
233,Sao Filipe,CV,14.8961,-24.4956,71.74,72,9,12.93,clear sky
234,Plaster Rock,CA,46.9065,-67.39,22.59,90,100,10.54,light snow
235,Hebi,CN,35.8992,114.1925,28.33,51,0,5.19,clear sky
236,Roald,NO,62.5833,6.1333,36.75,69,0,14.97,clear sky
237,Te Anau,NZ,-45.4167,167.7167,63.01,97,69,2.26,broken clouds
238,Villaviciosa,ES,43.4813,-5.4357,49.15,79,0,6.85,clear sky
239,Acarau,BR,-2.8856,-40.12,83.82,67,100,14.32,overcast clouds
240,Beringovskiy,RU,63.05,179.3167,10.85,95,100,12.12,overcast clouds
241,Kodinsk,RU,58.6881,99.1844,8.6,96,100,4.68,overcast clouds
242,Faanui,PF,-16.4833,-151.75,81.37,76,7,18.92,clear sky
243,Isiro,CD,2.7739,27.616,73.33,50,63,2.48,broken clouds
244,Livani,LV,56.3543,26.1758,30.31,95,100,9.13,light snow
245,Mkushi,ZM,-13.6202,29.3939,64.98,95,100,3.96,light rain
246,Rundu,NA,-17.9333,19.7667,68.04,91,100,6.35,light rain
247,Novaya Bryan,RU,51.7159,108.2691,-4.29,99,72,4.61,broken clouds
248,Havelock,US,34.8791,-76.9013,42.8,89,100,8.05,overcast clouds
249,Touros,BR,-5.1989,-35.4608,84.07,66,21,16.96,few clouds
250,Taboga,IT,46.2663,13.1092,39.88,86,90,5.35,overcast clouds
251,Kununurra,AU,-15.7667,128.7333,76.98,94,100,0.0,overcast clouds
252,Cervo,ES,43.6702,-7.4101,50.97,81,12,14.97,few clouds
253,Dubti,ET,11.7361,41.0853,86.72,33,0,9.78,clear sky
254,Bredasdorp,ZA,-34.5322,20.0403,64.96,69,0,4.92,clear sky
255,Pacasmayo,PE,-7.4006,-79.5714,77.74,65,25,11.56,scattered clouds
256,Maniitsoq,GL,65.4167,-52.9,9.45,84,100,18.54,light snow
257,Shonguy,RU,68.7526,33.146,14.07,100,0,2.24,clear sky
258,Walvis Bay,NA,-22.9575,14.5053,65.35,77,0,3.44,clear sky
259,Ballina,AU,-28.8667,153.5667,71.78,99,23,3.44,few clouds
260,Lompoc,US,34.6391,-120.4579,66.69,48,75,21.0,broken clouds
261,Fare,PF,-16.7,-151.0167,81.1,76,0,19.48,clear sky
262,Shu,KZ,43.5983,73.7614,34.95,97,100,6.85,light snow
263,Kumluca,TR,36.3703,30.2869,49.1,45,5,4.88,clear sky
