CityID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
368,Labrea,BR,88.32,few clouds,-7.2586,-64.7981,No hotel found
370,Honiara,SB,77.05,overcast clouds,-9.4333,159.95,King Solomon Hotel
372,Gigmoto,PH,77.97,broken clouds,13.7796,124.39,No hotel found
374,Moissala,TD,84.56,clear sky,8.3404,17.7663,No hotel found
376,Ndele,CF,81.36,clear sky,8.4109,20.6473,No hotel found
378,Road Town,VG,82.44,scattered clouds,18.4167,-64.6167,No hotel found
379,Candelaria,PH,76.39,light rain,13.9311,121.4233,Grand Central Hotel and Spa
382,Artigas,UY,86.76,light rain,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
387,Matoury,GF,78.76,overcast clouds,4.8483,-52.3317,La Marmotte
388,El Alto,PE,85.66,scattered clouds,-4.2714,-81.2147,No hotel found
390,Manaus,BR,88.29,scattered clouds,-3.1019,-60.025,No hotel found
391,Jaicos,BR,90.0,broken clouds,-7.3592,-41.1378,Apart-Hotel Restô Da Roça
396,Kalmunai,LK,76.35,overcast clouds,7.4167,81.8167,Saji new food
399,Businga,CD,82.06,overcast clouds,3.3333,20.8833,Hôtel Roho
401,Puerto Escondido,MX,85.03,few clouds,15.85,-97.0667,Hotel Barlovento
407,Tema,GH,82.81,clear sky,5.667,-0.0166,Macbaron
408,Tra Vinh,VN,77.41,overcast clouds,9.9347,106.3453,No hotel found
411,San Luis,AR,85.93,clear sky,-33.295,-66.3356,Hotel Dos Venados
415,Mitsamiouli,KM,80.85,moderate rain,-11.3847,43.2844,Hotel le Paradis
417,Daru,PG,76.75,overcast clouds,-9.0763,143.2092,Kuki
419,San Andres,CO,78.82,light intensity drizzle,12.5847,-81.7006,Hotel Decameron Isleño
423,Douentza,ML,79.48,scattered clouds,14.9951,-2.9517,No hotel found
427,Kavaratti,IN,79.75,scattered clouds,10.5669,72.642,No hotel found
431,Catuday,PH,76.96,clear sky,16.2923,119.8062,Nina Anchors Inn
432,San Cristobal,VE,77.18,clear sky,7.7669,-72.225,Terra Sur
435,Necochea,AR,75.29,scattered clouds,-38.5473,-58.7368,Cabañas Río Quequén
443,Las Matas De Farfan,DO,89.67,clear sky,18.8731,-71.5166,No hotel found
453,Port Keats,AU,81.01,overcast clouds,-14.25,129.55,No hotel found
457,Kimbe,PG,76.46,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
462,Isangel,VU,80.26,few clouds,-19.55,169.2667,Tanna Lodge
464,Almeirim,BR,83.89,broken clouds,-1.5233,-52.5817,Kapejar Hotel
468,Muisne,EC,80.13,light rain,0.6,-80.0333,Hostal Té de Menta
472,Santa Cruz,BO,80.65,light rain,-17.8,-63.1667,Aviador Hotel Boutique
474,Camana,PE,77.63,scattered clouds,-16.6228,-72.7111,Caja Arequipa
475,Sungairaya,ID,76.46,overcast clouds,0.7,108.9,No hotel found
479,Santiago Del Estero,AR,86.11,overcast clouds,-27.7951,-64.2615,Nuevo Hotel Brístol
480,Morrope,PE,84.31,broken clouds,-6.5417,-80.0111,No hotel found
481,Nhulunbuy,AU,81.21,light rain,-12.2333,136.7667,No hotel found
491,Hualmay,PE,77.07,overcast clouds,-11.0964,-77.6139,Hotel Mi Choacan
493,Biak,ID,76.19,overcast clouds,-0.9131,122.8766,No hotel found
499,Rio Branco,BR,84.81,broken clouds,-9.9747,-67.81,No hotel found
500,Saint-Leu,RE,79.66,light rain,-21.15,55.2833,Iloha Seaview Hôtel
504,Bubaque,GW,77.14,scattered clouds,11.2833,-15.8333,Chez Julio
507,Poum,NC,81.64,overcast clouds,-20.2333,164.0167,No hotel found
508,Presidente Dutra,BR,80.17,overcast clouds,-5.29,-44.49,No hotel found
516,Zabid,YE,78.66,clear sky,14.1951,43.3152,No hotel found
517,Hingatungan,PH,78.4,broken clouds,10.584,125.1852,No hotel found
521,Roebourne,AU,85.55,broken clouds,-20.7833,117.1333,No hotel found
528,Bayshore Gardens,US,84.27,clear sky,27.4253,-82.5904,Quality Inn Bradenton - Sarasota North
